,Close
2405,2323.15
2406,2355.1
2407,2392.65
2408,2440.7
2409,2525.5
2410,2508.6
2411,2514.7
2412,2501.25
2413,2511.15
2414,2474.35
2415,2413.9
2416,2394.4
2417,2382.1
2418,2462.65
2419,2520.8
2420,2500.85
2421,2535.2
2422,2491.05
2423,2523.1
2424,2504.35
2425,2555.85
2426,2536.8
2427,2561.3
2428,2536.75
2429,2666.2
2430,2651.75
2431,2747.65
2432,2748.35
2433,2777.1
2434,2789.55
2435,2702.5
2436,2693.95
2437,2734.2
2438,2727.5
2439,2733.75
2440,2693.5
2441,2756.05
2442,2800.65
2443,2764.55
2444,2836.4
2445,2813
2446,2790
2447,2690.8
2448,2677.5
2449,2721.1
2450,2773.6
2451,2757.65
2452,2659.05
2453,2671.1
2454,2658.4
2455,2601.35
2456,2650.35
2457,2650
2458,2701.35
2459,2772.6
2460,2756.3
2461,2810.4
2462,2738.55
2463,2757
2464,2761.35
2465,2749.1
2466,2735.1
2467,2744.75
2468,2811.95
2469,2839.05
2470,2815.65
2471,2807
2472,2756.9
2473,2705.7
2474,2766.75
2475,2804.45
2476,2750.4
2477,2731.35
2478,2721.2
2479,2762.3
2480,2799.6
2481,2725.3
2482,2721.75
2483,2695.25
2484,2679.8
2485,2617.35
2486,2609.35
2487,2606.5
2488,2575.35
2489,2564.25
2490,2562.8
2491,2645.05
2492,2659.15
2493,2689.8
2494,2677.2
2495,2675.8
2496,2674.35
2497,2683.45
2498,2696.35
2499,2646.15
2500,2600.05
2501,2600.1
2502,2559.65
2503,2543.9
2504,2524.95
2505,2521.5
2506,2557.45
2507,2510.5
2508,2527.25
2509,2437
2510,2408.7
2511,2381.95
2512,2305.55
2513,2346.85
2514,2383.85
2515,2386.7
2516,2420.05
2517,2515.65
2518,2418.5
2519,2389.8
2520,2396.6
2521,2393.5
2522,2397.3
2523,2380.35
2524,2382.5
2525,2390.9
2526,2428.2
2527,2463.95
2528,2480.95
2529,2480
2530,2484.6
2531,2518.7
2532,2492.85
2533,2462.5
2534,2500.3
2535,2560.3
2536,2604.65
2537,2596.2
2538,2588.35
2539,2611.25
2540,2659.25
2541,2705.75
2542,2701.55
2543,2715.7
2544,2675.25
2545,2688.85
2546,2726.75
2547,2737.95
2548,2694.45
2549,2624.85
2550,2621.55
2551,2586.15
2552,2613
2553,2661.1
2554,2638.7
2555,2717.2
2556,2782.55
2557,2795.05
2558,2824.95
2559,2806.55
2560,2725.9
2561,2843.05
2562,2827.8
2563,2748.3
2564,2689.7
2565,2674.6
2566,2693.15
2567,2702.85
2568,2704.8
2569,2736.65
2570,2727.4
2571,2829.75
2572,2852.9
2573,2806.4
2574,2832.65
2575,2813.95
2576,2801.6
2577,2822.6
2578,2801.15
2579,2752.8
2580,2726.8
2581,2789.35
2582,2773.3
2583,2779.05
2584,2808.75
2585,2776.8
2586,2759.45
2587,2740
2588,2673.7
2589,2710.5
2590,2710.2
2591,2664.1
2592,2610.1
2593,2695.05
2594,2763.8
2595,2790.15
2596,2789.75
2597,2706.8
2598,2710.6
2599,2735.2
2600,2748.9
2601,2671
2602,2702.2
2603,2705.15
2604,2749.9
2605,2808.9
2606,2837.4
2607,2859.05
2608,2912.9
2609,2932.75
2610,2930.45
2611,2985.45
2612,2979.25
2613,2993.65
2614,3022.3
2615,2935.4
2616,2958.75
2617,2902.65
2618,2944.2
2619,2915.4
2620,2916.25
2621,2939.35
2622,2945
2623,2905.05
2624,2941.7
2625,2966.4
2626,3003.35
2627,3064.3
2628,3076.85
2629,3044.65
2630,3019.85
2631,3059.55
2632,3013.6
2633,2970.4
2634,3017.7
2635,2993.45
2636,2958.55
2637,2939
2638,2895.55
2639,2976.9
2640,2980.25
2641,3024.05
2642,3051.5
2643,3060
2644,3028.8
2645,3069.2
2646,3115.55
2647,3073.2
2648,2998.75
2649,2985.6
2650,2995.9
2651,2973.9
2652,3008.95
2653,621.2
2654,645.05
2655,639.95
2656,629.6
2657,624.25
2658,620.05
2659,628.45
2660,623.15
2661,627.85
2662,627
2663,623.1
2664,632.55
2665,630.85
2666,636.3
2667,633
2668,630.55
2669,629.95
2670,665.4
2671,672.5
2672,683.9
2673,691.65
2674,683.65
2675,706.3
2676,721.6
2677,733.7
2678,729.3
2679,732.9
2680,728.45
2681,712.45
2682,707
2683,733.2
2684,743.35
2685,760.35
2686,741.35
2687,745.05
2688,725.8
2689,717.35
2690,721.1
2691,708.05
2692,739.9
2693,733.35
2694,727.15
2695,724.4
2696,720.65
2697,697.9
2698,704.75
2699,691.95
2700,706.5
2701,696.35
2702,678.05
2703,692.2
2704,687.7
2705,710.7
2706,702.8
2707,715.95
2708,739.7
2709,738.15
2710,726.2
2711,725.45
2712,725.35
2713,712.1
2714,716.05
2715,710.2
2716,698.4
2717,700.35
2718,695.35
2719,719.1
2720,699.65
2721,688.3
2722,695.95
2723,684.95
2724,694.85
2725,686.65
2726,697.75
2727,705.5
2728,695.3
2729,704.85
2730,700.8
2731,684.75
2732,671.95
2733,668.6
2734,693.75
2735,692.75
2736,685.45
2737,688.5
2738,692.3
2739,699.1
2740,697.75
2741,701.8
2742,698.9
2743,696.05
2744,700.4
2745,717.4
2746,729.2
2747,728.35
