Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
21-12-2018,HDFC,EQ,1974.7,1974.8,1979.6,1930,1943.45,1948.6,1951.03,4016548,7.84E+14
24-12-2018,HDFC,EQ,1948.6,1955,1955,1898,1906.75,1902.15,1925.72,2207727,4.25E+14
26-12-2018,HDFC,EQ,1902.15,1896,1944.7,1883.2,1938,1933.35,1910.4,1536116,2.93E+14
27-12-2018,HDFC,EQ,1933.35,1948.45,1955,1930,1946.3,1948.85,1943.86,1645443,3.20E+14
28-12-2018,HDFC,EQ,1948.85,1959,1990,1952,1978.15,1979.95,1981.67,2384400,4.73E+14
31-12-2018,HDFC,EQ,1979.95,1988,1989.75,1961.55,1965,1968.35,1971.07,2289993,4.51E+14
1/1/2019,HDFC,EQ,1968.35,1968,2014.7,1954.5,2010,2009,1990.57,1305443,2.60E+14
2/1/2019,HDFC,EQ,2009,2004.7,2009,1961,1983,1980.65,1984.08,2001170,3.97E+14
3/1/2019,HDFC,EQ,1980.65,1984.05,1987.1,1931.85,1937,1936.85,1950.27,3732193,7.28E+14
4/1/2019,HDFC,EQ,1936.85,1948,1976,1942,1973,1972.6,1957.64,2109614,4.13E+14
7/1/2019,HDFC,EQ,1972.6,1976.95,1987.5,1963.95,1974,1972.9,1975.79,2255477,4.46E+14
8/1/2019,HDFC,EQ,1972.9,1983,1983,1948,1955.85,1958.95,1959.5,2061919,4.04E+14
9/1/2019,HDFC,EQ,1958.95,1962,1998,1962,1991.3,1994.95,1980.98,2905090,5.75E+14
10/1/2019,HDFC,EQ,1994.95,1993,1993,1971.3,1976,1980.1,1980.17,2138302,4.23E+14
11/1/2019,HDFC,EQ,1980.1,1978,2007.7,1972.4,1990.25,1991.4,1989.68,1814132,3.61E+14
14-01-2019,HDFC,EQ,1991.4,1983,1983.15,1949.6,1969.25,1969.2,1962.84,2167796,4.26E+14
15-01-2019,HDFC,EQ,1969.2,1975.2,1996,1964,1988.4,1992.15,1982.27,2111042,4.18E+14
16-01-2019,HDFC,EQ,1992.15,1989,1994.75,1965.5,1976.9,1975,1976.96,1878811,3.71E+14
17-01-2019,HDFC,EQ,1975,1982.75,2007,1979.05,2000.2,2004.55,1994.18,2773741,5.53E+14
18-01-2019,HDFC,EQ,2004.55,2004,2012.6,1989.25,2000.05,2006.85,2001.77,1942136,3.89E+14
21-01-2019,HDFC,EQ,2006.85,1998,2016,1983.2,2005,2004.45,2002.93,2146668,4.30E+14
22-01-2019,HDFC,EQ,2004.45,1999,2002.15,1968.5,1981.3,1979.4,1978.04,3502920,6.93E+14
23-01-2019,HDFC,EQ,1979.4,1981.8,1984.95,1951.3,1957.25,1958.25,1963.4,2201110,4.32E+14
24-01-2019,HDFC,EQ,1958.25,1960,1976,1942.15,1972.5,1971.1,1956.37,2194496,4.29E+14
25-01-2019,HDFC,EQ,1971.1,1964.4,1993,1963.95,1973.35,1977.8,1982.39,2240491,4.44E+14
28-01-2019,HDFC,EQ,1977.8,1978.7,1982.2,1938.1,1951,1946.9,1953.84,2698966,5.27E+14
29-01-2019,HDFC,EQ,1946.9,1943.7,1949.9,1893.3,1928.5,1922.3,1924.99,4035877,7.77E+14
